14,0.384,0.301,0.11,0.293,0.098,0.058,0.137,1,0,0
8,0.599,0.457,0.157,1.03,0.518,0.226,0.286,0,0,1
12,0.533,0.413,0.105,0.598,0.219,0.188,0.191,0,0,1
22,0.585,0.438,0.16,1.044,0.447,0.278,0.319,0,0,1
21,0.581,0.481,0.179,0.974,0.465,0.242,0.267,0,1,0
15,0.497,0.378,0.13,0.719,0.322,0.178,0.219,0,1,0
15,0.679,0.564,0.167,1.291,0.609,0.275,0.407,0,0,1
12,0.289,0.235,0.072,0.032,0.001,0.001,0.03,1,0,0
12,0.654,0.526,0.213,1.327,0.632,0.327,0.368,0,0,1
22,0.572,0.44,0.152,1.06,0.427,0.273,0.36,0,1,0
14,0.554,0.431,0.16,0.872,0.355,0.175,0.342,1,0,0
12,0.495,0.376,0.128,1.052,0.548,0.214,0.29,1,0,0
2,0.453,0.354,0.126,0.882,0.449,0.214,0.219,1,0,0
24,0.7,0.582,0.231,1.455,0.657,0.315,0.483,1,0,0
18,0.387,0.308,0.12,0.758,0.363,0.152,0.243,0,1,0
15,0.714,0.556,0.194,1.364,0.637,0.371,0.356,1,0,0
22,0.47,0.359,0.13,0.624,0.224,0.173,0.227,0,0,1
15,0.706,0.535,0.193,1.649,0.756,0.345,0.548,1,0,0
21,0.564,0.458,0.171,1.197,0.493,0.273,0.431,0,0,1
9,0.207,0.16,0.051,0.016,0.001,0.001,0.014,0,0,1
12,0.21,0.152,0.026,0.004,0.001,0.001,0.002,0,0,1
21,0.462,0.367,0.137,0.795,0.297,0.198,0.3,0,0,1
21,0.715,0.579,0.218,1.467,0.592,0.386,0.489,0,0,1
14,0.338,0.257,0.066,0.256,0.063,0.057,0.136,1,0,0
10,0.498,0.385,0.122,0.562,0.273,0.164,0.125,0,0,1
18,0.563,0.428,0.155,0.948,0.445,0.24,0.263,1,0,0
21,0.679,0.541,0.183,1.322,0.645,0.325,0.352,0,1,0
9,0.466,0.358,0.156,0.793,0.427,0.138,0.228,0,1,0
14,0.402,0.331,0.092,0.499,0.215,0.127,0.157,0,0,1
8,0.418,0.285,0.097,0.189,0.149,0.026,0.014,0,0,1
21,0.64,0.513,0.208,1.211,0.493,0.288,0.43,0,1,0
22,0.577,0.465,0.151,0.871,0.376,0.217,0.278,1,0,0
16,0.386,0.292,0.113,0.307,0.12,0.085,0.102,1,0,0
15,0.489,0.375,0.133,0.488,0.169,0.106,0.213,1,0,0
15,0.53,0.403,0.146,0.825,0.389,0.192,0.244,0,0,1
18,0.386,0.288,0.086,0.338,0.116,0.06,0.162,0,0,1
28,0.748,0.602,0.19,1.358,0.565,0.318,0.475,0,1,0
24,0.665,0.517,0.171,1.353,0.647,0.295,0.411,0,0,1
14,0.498,0.399,0.145,0.873,0.466,0.192,0.215,1,0,0
6,0.288,0.241,0.056,0.019,0.001,0.001,0.017,1,0,0
22,0.612,0.482,0.189,1.152,0.514,0.284,0.354,1,0,0
16,0.501,0.417,0.147,0.943,0.441,0.232,0.27,0,0,1
9,0.457,0.349,0.123,0.479,0.235,0.13,0.114,0,1,0
14,0.489,0.378,0.118,0.611,0.251,0.179,0.181,0,1,0
9,0.327,0.258,0.065,0.124,0.001,0.001,0.122,0,0,1
16,0.65,0.524,0.152,1.107,0.471,0.272,0.364,0,0,1
15,0.586,0.428,0.154,0.874,0.467,0.214,0.193,0,0,1
15,0.664,0.539,0.175,1.06,0.413,0.312,0.335,0,1,0
10,0.182,0.13,0.062,0.004,0.001,0.001,0.002,0,0,1
12,0.41,0.285,0.135,0.549,0.191,0.139,0.219,1,0,0
12,0.571,0.434,0.133,0.8,0.35,0.173,0.277,0,0,1
20,0.457,0.338,0.111,0.76,0.394,0.246,0.12,1,0,0
18,0.58,0.47,0.184,1.16,0.488,0.271,0.401,0,0,1
10,0.586,0.457,0.161,1.262,0.578,0.287,0.397,0,1,0
